"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Σύνολο Ελλάδος,38.619,76.745  52.759.186,15.804.099,18.311  16.776  11.354.092,2.903.118,97.306  25.298  72.008
ΑΤΤΙΚΗ,7.487,21.389  14.463.385,4.609.019,4.362  5.280  3.242.020,866.298,29.668  5.738  23.930
ΝΟΜΑΡΧΙΑ ΑΘΗΝΩΝ,866,4.190  2.680.685,801.931,533  731  413.965,115.027,6.229  1.408  4.821
Αθηναίων,524,2.673  1.868.563,551.931,234  324  259.236,68.300,3.875  805  3.070
Βύρωνος,69,312  157.042,46.806,54  79  23.741,7.032,515  183  332
Γαλατσίου,53,240  132.830,43.465,44  56  28.730,8.776,386  73  313
?άφνης,27,106  53.655,16.340,14  14  11.391,2.870,152  31  121
Ζωγράφου,44,282  126.658,40.536,22  26  8.274,2.605,364  101  263
Ηλιουπόλεως,69,262  133.289,39.679,103  149  52.162,17.109,433  122  311
Καισαριανής,20,82  47.532,14.039,8  18  3.341,1.068,143  48  95
Νέας Φιλαδελφείας,24,106  77.128,22.219,25  27  14.093,3.593,184  23  161
Νέας Χαλκηδόνος,8,30  18.304,5.932,8  11  5.477,1.389,34  1  33
Ταύρου,13,62  53.532,17.237,7  8  2.724,880,94  6  88
Υμηττού,15,35  12.152,3.747,14  19  4.796,1.405,49  15  34
ΝΟΜΑΡΧΙΑ ΑΝΑΤΟΛΙΚΗΣ,3.390,7.818  5.756.593,1.604.156,1.368  1.602  1.205.144,320.066,10.385  1.666  8.719
ΑΤΤΙΚΗΣ,,,,,,
Αγίας Παρασκευής,179,545  425.379,127.025,80  117  59.778,18.277,914  110  804
Αμαρουσίου,129,365  291.989,81.763,58  76  51.831,16.032,559  95  464
Βριλησσίων,85,247  197.285,60.521,29  39  27.663,9.639,420  53  367
Ηρακλείου,72,237  159.309,43.979,39  60  25.738,7.478,363  67  296
Κηφισιάς,165,389  484.307,108.391,55  56  30.254,9.136,455  48  407
Μελισσίων,51,153  140.194,41.442,24  26  17.972,5.464,337  25  312
Μεταμορφώσεως,55,173  165.766,43.404,33  50  49.159,10.510,345  55  290
Νέας Ερυθραίας,53,137  92.091,28.274,23  30  20.970,5.380,171  22  149
Νέας Ιωνίας,70,284  182.487,54.208,51  56  25.293,7.226,474  122  352
Νέου Ψυχικού,12,47  24.329,7.093,13  28  15.149,4.270,79  14  65
Παπάγου,8,35  15.122,4.143,31  53  18.836,5.690,81  17  64
Πεύκης,25,94  76.380,23.227,12  12  68.691,17.476,164  18  146
Φιλοθέης,9,24  21.105,5.932,7  5  5.198,1.635,37  5  32
Χαλανδρίου,162,438  309.678,92.325,69  103  48.336,14.790,647  89  558
Χολαργού,12,45  25.388,8.455,18  29  16.813,5.299,79  12  67
Ψυχικού,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",17,35  16.613,5.046,12  16  16.401,4.460,57  5  52
Γέρακα,233,504  268.379,79.028,49  65  30.327,8.212,529  100  429
Εκάλης,24,54  49.856,15.177,6  6  7.923,2.129,68  8  60
Λυκοβρύσεως,33,91  79.228,23.797,13  18  7.444,2.180,156  10  146
Νέας Πεντέλης,29,64  34.941,10.492,13  13  7.847,2.476,73  10  63
Πεντέλης,17,38  19.704,5.918,8  8  5.967,1.737,62  16  46
Αυλώνος,17,25  49.429,10.176,2  1  2.431,608,22  2  20
Αχαρνών,301,600  362.316,98.577,123  139  88.082,23.319,742  177  565
Κερατέας,31,46  18.550,5.837,15  11  14.724,1.584,48  7  41
Κρωπίας,135,246  280.744,66.972,46  38  119.606,24.093,172  21  151
Λαυρεωτικής,16,37  44.281,12.336,11  6  7.721,2.171,36  3  33
Μαραθώνος,31,53  24.058,7.215,11  10  22.347,4.882,63  19  44
Μαρκοπούλου Μεσογαίας,163,311  186.833,55.795,48  36  37.314,9.424,337  65  272
Νέας Μάκρης,85,169  80.920,23.101,48  52  23.518,6.874,204  59  145
Παιανίας,35,66  73.236,18.569,26  23  14.855,4.367,77  12  65
Παλλήνης,102,267  237.449,52.403,37  57  37.108,9.860,403  70  333
Σπάτων-Λούτσας,178,357  266.757,70.962,69  68  65.918,14.912,395  75  320
Αγίου Κωνσταντίνου,1,2  473,137,1  1  290,90,2  1  1
Αγίου Στεφάνου,55,111  72.521,20.656,15  11  23.261,7.404,101  7  94
Αναβύσσου,18,35  24.303,7.877,4  5  1.571,494,65  32  33
Ανοίξεως,33,60  63.085,16.896,13  10  9.814,2.630,70  8  62
Αρτέμιδος (Λούτσας),145,243  85.323,25.506,72  76  31.824,11.863,268  76  192
Αφιδνών,28,50  76.988,26.433,7  7  2.168,628,50  3  47
Βαρνάβα,3,5  2.304,687,1  1  472,159,5  1  4
Γλυκών Νερών,57,126  64.323,18.223,20  27  13.894,3.330,132  11  121
Γραμματικού,5,7  11.043,2.745,5  2  2.499,775,12  3  9
?ιονύσου,46,91  74.387,22.286,13  13  12.008,3.996,113  7  106
?ροσιάς,30,71  93.800,27.924,12  16  5.943,1.703,146  7  139
Θρακομακεδόνων,29,59  37.452,11.062,9  15  5.874,1.860,56  3  53
Καλάμου,8,14  9.419,2.850,5  6  2.697,803,14  0  14
Καλυβίων Θορικού,77,148  67.039,20.480,34  37  15.530,4.801,125  21  104
Καπανδριτίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",26,45  27.733,8.740,9  11  4.104,1.192,44  3  41
Κουβαρά,12,19  7.244,2.321,2  1  18.096,1.773,13  4  9
Κρυονερίου,40,80  66.170,19.601,4  5  4.658,1.051,94  3  91
Μαλακάσης,2,3  1.277,338,0  0  0,0,3  0  3
Μαρκοπούλου Ωρωπού,5,7  2.680,845,3  3  2.420,720,10  1  9
Νέων Παλατίων,17,32  14.512,4.643,8  10  5.940,1.665,33  6  27
Παλαιάς Φωκαίας,8,14  8.152,2.769,4  2  2.033,626,25  15  10
Πικερμίου,81,165  93.482,25.535,10  11  9.570,2.592,143  5  138
Πολυδενδρίου,11,17  10.003,2.870,2  0  16.099,2.023,14  2  12
Ραφήνας,49,103  57.609,16.450,14  11  11.732,2.911,109  15  94
Ροδοπόλεως (Μπάλας),6,14  10.638,2.930,1  0  1.026,342,11  0  11
Σαρωνίδος,19,41  28.074,9.224,4  2  1.299,476,67  5  62
Σκάλας Ωρωπού,18,30  18.118,5.233,7  5  2.389,779,41  6  35
Σταμάτας,11,24  10.846,3.274,5  4  3.245,985,20  1  19
Συκαμίνου,6,9  6.219,1.926,2  2  1.373,360,13  3  10
Ωρωπού,10,17  7.273,2.112,3  1  2.101,445,17  6  11
ΝΟΜΑΡΧΙΑ ?ΥΤΙΚΗΣ,1.519,3.740  2.466.280,663.937,1.096  1.264  818.157,205.692,4.943  831  4.112
ΑΤΤΙΚΗΣ,,,,,,
Αγίας Βαρβάρας,21,46  93.995,18.736,41  49  18.348,5.137,96  26  70
Αγίων Αναργύρων,41,100  55.498,16.586,35  47  27.080,6.877,158  22  136
Αιγάλεω,92,262  151.146,45.398,98  104  108.413,21.438,391  63  328
Καματερού,137,302  152.061,46.157,52  69  24.542,7.255,362  44  318
Κορυδαλλού,70,281  128.576,37.903,92  115  47.420,13.624,412  78  334
Νέων Λιοσίων,7,21  15.199,4.504,11  13  3.145,942,43  5  38
Περιστερίου,182,561  349.594,101.059,227  271  158.720,42.510,778  167  611
Πετρουπόλεως,137,481  253.002,74.962,109  141  60.669,17.363,724  99  625
Χαϊδαρίου,89,230  138.595,40.671,49  54  20.487,6.122,324  58  266
Ασπροπύργου,50,82  120.732,23.617,46  43  114.456,25.882,77  8  69
Βιλίων,29,48  17.534,5.525,10  9  8.285,2.138,47  20  27
Ελευσίνος,63,142  114.474,32.441,45  50  20.136,6.174,179  24  155
Ερυθρών,2,3  1.229,381,1  0  56,22,3  1  2
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Μάνδρας,48,86  116.048,21.286,21  18  64.924,11.298,69  6  63
Μεγαρέων,121,189  110.416,31.302,61  55  32.307,9.350,190  40  150
Μαγούλας,49,90  215.174,36.516,15  11  15.978,3.005,80  7  73
Νέας Περάμου,7,13  10.185,3.223,10  10  4.932,1.147,15  3  12
Οινόης,5,6  3.448,845,0  0  0,0,3  0  3
¶νω Λιοσίων,320,706  370.315,108.281,150  183  78.930,22.721,904  153  751
Ζεφυρίου,35,69  32.958,10.549,17  17  6.860,1.963,70  5  65
Φυλής,14,22  16.101,3.995,6  5  2.469,724,18  2  16
ΝΟΜΑΡΧΙΑ ΠΕΙΡΑΙΩΣ,1.712,5.641  3.559.827,1.538.995,1.365  1.683  804.754,225.513,8.111  1.833  6.278
Αγίου ?ημητρίου,129,441  233.989,67.160,92  113  43.845,12.903,626  170  456
Αγίου Ιωάννου Ρέντη,13,50  171.855,33.650,17  17  39.616,7.621,91  4  87
Αλίμου,99,318  257.838,74.830,61  90  43.803,13.009,569  108  461
Αργυρουπόλεως,52,172  154.155,42.209,49  64  49.665,12.249,272  63  209
Βουλιαγμένης,16,41  39.208,11.949,9  10  7.570,2.033,58  14  44
Γλυφάδας,266,897  562.486,668.798,118  142  59.091,18.126,1.050  166  884
?ραπετσώνας,14,41  28.692,8.388,18  23  37.567,7.593,93  23  70
Ελληνικού,21,80  46.897,14.302,16  27  16.964,4.867,132  27  105
Καλλιθέας,62,278  237.740,70.035,45  63  41.841,11.180,447  91  356
Κερατσινίου,103,410  172.957,50.619,186  247  79.465,22.828,588  115  473
Μοσχάτου,37,129  117.741,34.842,39  64  23.244,6.868,318  82  236
Νέας Σμύρνης,79,428  221.301,75.822,38  61  32.029,9.170,605  99  506
Νικαίας,135,506  204.446,59.549,134  174  61.260,17.408,639  209  430
Παλαιού Φαλήρου,68,289  149.442,45.037,32  35  16.616,4.434,376  60  316
Πειραιώς,215,843  572.182,161.637,161  225  101.626,31.435,1.136  249  887
Περάματος,24,58  43.852,13.223,49  55  31.883,8.667,128  22  106
Βάρης,94,207  132.475,44.980,17  14  7.054,2.197,252  42  210
Αιγίνης,62,89  36.553,10.822,46  40  15.767,4.475,116  49  67
Αγκιστρίου,10,16  7.368,2.196,5  6  2.969,889,42  33  9
Βαθέος,8,10  2.427,767,21  24  7.740,2.336,44  33  11
Κυψέλης,10,16  6.219,1.869,9  5  5.676,1.523,19  3  16
Μεσαγρού,9,15  3.956,1.251,19  12  4.779,1.380,31  15  16
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Πέρδικας,7,10  3.707,1.098,5  6  1.116,334,12  7  5
Καρβουνάδων,1,2  737,238,1  0  240,80,3  0  3
Κοντολιανίκων,1,1  229,69,2  4  2.028,534,10  6  4
Κυθήρων,14,24  10.375,2.867,25  24  10.219,2.979,51  12  39
Λιβαδίου,4,8  3.496,917,3  3  507,162,7  3  4
Λογοθετιανίκων,1,1  298,80,2  2  862,244,3  1  2
Μητάτων,2,4  1.434,367,0  0  0,0,3  0  3
Μυρτιδίων,0,0  0,0,4  3  1.055,322,4  0  4
Ποταμού,2,3  1.490,390,6  6  2.352,638,9  2  7
Φρατσίων,1,2  460,152,1  2  600,197,2  0  2
Φριλιγκιανίκων,2,5  1.745,526,2  1  784,265,5  1  4
Σαλαμίνος,43,85  45.310,12.841,40  38  17.742,5.374,98  27  71
Σπετσών,18,28  15.639,4.758,23  23  8.683,2.655,70  31  39
Αιαντείου,36,52  24.816,7.355,17  13  4.786,1.471,55  15  40
Αμπελακίων,3,5  1.439,405,11  6  6.853,2.056,12  2  10
Σεληνίων,8,8  4.275,1.260,11  8  5.590,1.628,22  7  15
Λουτροπόλεως Μεθάνων,3,5  2.982,870,5  6  1.692,487,12  7  5
Πόρου,16,26  14.218,4.360,7  10  3.524,1.061,41  12  29
Γαλατά,8,16  11.220,3.129,4  6  1.772,517,15  6  9
Καρατζά,0,0  0,0,1  2  323,107,1  0  1
Κουνουπίτσης,1,2  621,206,2  3  1.019,295,5  1  4
Μεγαλοχωρίου,1,2  1.500,391,1  0  18,6,6  6  0
Τακτικουπόλεως,4,6  3.094,954,1  0  393,131,5  2  3
Τροιζήνος,5,5  1.816,488,1  1  204,68,5  2  3
Ύδρας,5,7  5.147,1.339,9  5  2.322,711,23  6  17
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕ?ΟΝΙΑ &,2.408,4.629  4.338.243,1.025.844,1.073  881  951.249,194.862,6.448  1.812  4.636
ΘΡΑΚΗ,,,,,,
ΝΟΜΟΣ ?ΡΑΜΑΣ,402,699  565.186,144.505,190  137  145.730,33.096,809  155  654
?οξάτου,19,23  9.765,2.943,12  5  5.107,1.556,20  2  18
?ράμας,141,370  252.231,75.934,70  57  66.564,13.213,542  107  435
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Κάτω Νευροκοπίου,5,7  8.959,1.952,1  1  501,169,4  0  4
Προσοτσάνης,28,32  28.822,5.636,14  14  5.087,1.677,28  6  22
Αγίου Αθανασίου,5,6  2.090,740,9  7  4.300,1.220,8  1  7
Αδριανής,3,3  1.623,756,6  8  6.482,1.823,7  2  5
Αργυρουπόλεως,4,4  1.472,449,2  1  2.090,637,4  0  4
Αχλαδέας,2,2  4.993,1.105,0  0  0,0,1  0  1
Βαθυτόπου,0,0  0,0,1  1  440,160,1  0  1
Βώλακος,3,5  2.509,832,0  0  0,0,2  1  1
Γρανίτου,2,5  3.907,1.039,0  0  0,0,1  0  1
Θόλου,1,1  400,120,0  0  0,0,1  0  1
Καλαμπακίου,17,25  10.936,3.447,9  7  4.256,1.375,16  3  13
Καλαμώνος,3,3  4.175,946,1  1  487,114,1  0  1
Καλής Βρύσης,3,5  1.410,489,1  0  486,122,4  0  4
Καλλιθέας,2,2  920,286,3  3  837,278,4  0  4
Καλλιφύτου,12,16  10.903,2.430,2  2  409,110,10  2  8
Καλού Αγρού,4,4  3.652,842,4  3  1.025,315,5  0  5
Καταφύτου,4,4  5.374,1.287,0  0  0,0,0  0  0
Κάτω Βροντούς,1,1  600,260,0  0  0,0,0  0  0
Κεφαλαρίου,1,1  408,80,2  1  455,136,2  1  1
Κοκκινογείων,4,5  2.111,613,2  1  573,206,4  1  3
Κουδουνίων,11,17  6.861,2.304,1  0  585,195,14  0  14
Κυρίων,15,16  8.284,2.300,5  6  1.796,576,16  5  11
Λευκογείων,1,1  806,143,0  0  0,0,0  0  0
Μαυροβάτου,15,19  9.040,2.626,2  0  1.030,226,13  0  13
Μαυρολεύκης,3,4  2.187,477,1  0  400,100,1  0  1
Μεγαλοκάμπου,1,1  420,118,1  0  400,97,1  0  1
Μικρομηλέας,1,2  737,225,0  0  0,0,1  0  1
Μικροπόλεως,2,2  1.273,314,2  0  522,127,2  1  1
Μικροχωρίου,7,8  5.500,1.592,1  0  100,31,6  2  4
Μοναστηρακίου,4,6  3.822,917,4  3  1.115,421,8  2  6
Μυλοποτάμου,6,7  2.228,731,3  1  7.810,1.672,6  0  6
Νεροφράκτου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",2,4  716,227,0  0  0,,0,3  1  2
Νικηφόρου,1,1  380,136,0  0  0,,0,1  0  1
Ξηροποτάμου,16,19  77.711,10.641,10  6  22.279,,3.629,18  3  15
Οχυρού,2,2  3.086,964,2  0  3.365,,858,1  1  0
Παγονερίου,0,0  0,0,1  2  615,,162,2  0  2
Πανοράματος,1,1  1.015,270,0  0  0,,0,0  0  0
Παρανεστίου,3,5  3.414,1.036,0  0  0,,0,9  8  1
Περιθωρίου,0,0  0,0,1  0  270,,90,1  1  0
Πετρούσσης,10,13  10.941,3.408,6  1  2.783,,817,13  1  12
Πλατανόβρυσης,1,1  910,350,0  0  0,,0,1  0  1
Πύργων,0,0  0,0,1  0  15,,5,0  0  0
Σιδηρονέρου,1,2  1.200,480,0  0  0,,0,0  0  0
Σιταγρών,5,6  1.946,609,0  0  0,,0,4  0  4
Σκαλωτής,1,1  302,63,0  0  0,,0,0  0  0
Φτελιάς,3,4  996,322,0  0  0,,0,1  0  1
Φωτολίβους,5,6  2.557,829,4  1  634,,169,5  0  5
Χαριτωμένης,0,0  0,0,1  1  650,,197,0  0  0
Χωριστής,21,27  61.594,11.237,5  4  2.262,,613,17  4  13
ΝΟΜΟΣ ΚΑΒΑΛΑΣ,642,1.191  610.659,182.452,284  252  143.175,,38.460,1.557  522  1.035
Θάσου,23,35  14.053,4.113,9  8  8.850,,1.874,49  23  26
Θεολόγου,13,18  6.065,1.985,8  9  2.564,,831,29  22  7
Καλλιράχης,4,7  1.968,646,2  1  331,,108,8  5  3
Λιμεναρίων,14,24  6.621,2.202,7  10  1.515,,484,31  19  12
Μαριών,0,0  0,0,1  1  330,,111,1  0  1
Παναγίας,19,36  12.834,4.150,1  2  1.871,,480,56  50  6
Ποταμιάς,15,24  9.259,2.916,3  2  1.974,,658,24  18  6
Πρίνου,3,4  1.047,274,3  2  1.520,,443,4  0  4
Ραχωνίου,7,11  5.596,1.697,0  0  0,,0,14  3  11
Σωτήρος,1,2  840,280,0  0  0,,0,4  0  4
Καβάλας,153,419  183.741,60.533,50  51  13.780,,4.511,498  80  418
Αμισιανών,7,11  5.283,1.392,4  2  11.868,,1.805,6  2  4
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Αμυγδαλεώνος,14,20  68.610,11.958,6  7  2.094,690,14  0  14
Ζυγού,4,6  2.279,718,9  9  2.487,850,10  3  7
Κοκκινοχώματος,7,9  5.959,1.601,4  2  2.851,704,8  1  7
Κορυφών,4,6  1.237,438,1  1  207,69,6  2  4
Κρηνίδων,8,15  6.850,2.185,14  14  4.629,1.492,18  3  15
Κρυονερίου,11,16  6.161,2.021,4  1  295,85,16  6  10
Λιμνιών,2,2  620,208,0  0  0,0,2  0  2
Λυδίας,3,3  3.189,629,1  0  441,147,2  0  2
Νέας Καρβάλης,14,20  11.202,3.365,4  2  1.082,361,17  4  13
Παλαιάς Καβάλας,1,1  352,115,1  1  245,88,2  1  1
Πολυστύλου,10,16  5.051,1.600,0  0  0,0,8  0  8
Φιλίππων,8,11  6.773,1.698,2  4  1.144,420,12  3  9
Χαλκερού,7,9  16.238,3.122,2  3  518,144,8  2  6
Χρυσουπόλεως,28,44  20.081,6.528,14  17  6.349,1.928,47  7  40
Αγιάσματος,2,2  11.392,2.030,3  4  1.719,554,2  0  2
Γέροντα,3,4  1.028,356,3  1  550,183,4  0  4
Γραβούνης,3,4  1.893,627,2  0  1.237,471,5  2  3
?ιποτάμου,1,1  1.674,499,0  0  0,0,0  0  0
Ερατεινού,1,1  324,83,0  0  0,0,1  0  1
Ζαρκαδιάς,3,3  1.309,384,6  6  4.444,1.179,7  2  5
